x	x	0	0	0	0
x	x	0	0	0	0
Query-Performance	Prediction:	1.99	72.0046	0	0
$$$	Straight	1.99	91.9306	0	0
Fiana	Raiber	1.33	137.625	0	0
Faculty	of	1.11	166.011	0	0
$$$	ABSTRACT	1.33	207.916	0	0
x	x	0	0	0	0
The	query-performance	1.0	223.91	0	0
Categories	and	0.89	499.852	0	0
Keywords:	query-performance	0.89	523.594	0	0
1.	INTRODUCTION	1.33	550.717	0	0
x	x	0	0	0	0
The	query-performance	1.0	565.217	0	0
x	x	0	0	0	0
Permission	to	0.77	633.732	0	0
of	query-performance	1.0	209.465	0	0
2.	RELATED	1.33	643.786	0	0
x	x	0	0	0	0
There	are	1.0	658.286	0	0
$$$	13	1.0	751.295	0	0
x	x	0	0	0	0
clarity	of	1.0	57.0405	0	0
3.	THE	1.33	549.133	0	0
x	x	0	0	0	0
The	query	1.0	563.633	0	0
p(R	=	1.0	684.492	0	0
Different	assignments	1.0	700.126	0	0
These	tasks	1.0	57.0405	0	0
3.1	Prediction	1.33	94.8311	0	0
x	x	0	0	0	0
In	the	1.0	109.339	0	0
pq(R	=	1.0	220.218	0	0
to	emphasize	1.0	236.347	0	0
3.2	Prediction	1.33	306.547	0	0
x	x	0	0	0	0
The	fusion	1.0	321.047	0	0
pq;c(R	=	1.0	546.999	0	0
to	emphasize	1.0	563.129	0	0
3.3	Prediction	1.33	675.16	0	0
x	x	0	0	0	0
Heretofore,	we	1.0	689.669	0	0
$$$	14	1.0	751.295	0	0
x	x	0	0	0	0
prediction	task	0.77	54.6465	0	0
Table	1:	1.0	117.809	1	TABLE
However,	these	1.0	241.937	0	0
Pre-retrieval	prediction.	1.22	315.894	0	0
The	first	1.0	316.655	0	0
pc(R	=	1.0	448.818	0	0
As	was	1.0	465.299	0	0
1	Rather,	0.99	484.649	0	0
x	x	0	0	0	0
1	Pre-retrieval	0.98	691.082	0	0
Post-retrieval	prediction.	1.22	56.2798	0	0
Methods	referred	1.0	57.0403	0	0
2	Thus,	0.95	191.455	0	0
pc(R	=	1.0	210.039	0	0
Equation	5	1.0	226.447	0	0
3.4	Improved	1.33	369.133	0	0
x	x	0	0	0	0
Work	on	1.0	383.632	0	0
3	We	0.99	423.907	0	0
The	ability	1.0	561.463	0	0
x	x	0	0	0	0
2	There	0.98	617.992	0	0
3	Small	0.99	637.288	0	0
$$$	15	1.0	751.295	0	0
x	x	0	0	0	0
A	potential	1.0	57.0405	0	0
$$$	4	0.66	170.54	0	0
Another	potential	1.0	182.564	0	0
5	However,	0.99	400.67	0	0
x	x	0	0	0	0
4	The	0.97	671.785	0	0
5	Pre-retrieval	0.98	691.082	0	0
not	be	1.0	57.0405	0	0
3.5	Learning	1.33	168.343	0	0
x	x	0	0	0	0
With	the	1.0	194.497	0	0
p(R	=	1.0	284.739	0	0
This	is	1.0	301.147	0	0
pR=1(Q,	C,	1.0	456.27	0	0
Z	Y	1.0	462.345	0	0
$$$	xX(G)	0.66	469.389	0	0
x(x);	(7)	1.0	456.27	0	0
X(G)	are	1.0	483.639	0	0
Q,C,L	Q	0.83	499.053	0	0
xX(G)	x(x)	0.99	499.053	0	0
[36]:	x(x)	1.0	590.858	0	0
def	=	0.99	587.883	0	0
Score(Q;	C,	0.94	652.641	0	0
$$$	xX(G)	0.66	665.76	0	0
xfx(x).	(8)	1.0	652.641	0	0
Most	linear	1.0	679.202	0	0
$$$	16	1.0	751.295	0	0
x	x	0	0	0	0
and	the	1.0	57.0405	0	0
10	is	0.99	107.773	0	0
rank	[26]	0.97	139.431	0	0
3.5.1	Cliques	1.22	181.308	0	0
x	x	0	0	0	0
We	consider	1.0	195.019	0	0
$$$	The	1.22	279.435	0	0
xQC	clique.	1.11	280.5	0	0
This	clique	1.0	280.195	0	0
$$$	The	1.22	479.685	0	0
xL	clique.	1.11	480.75	0	0
This	clique	1.0	480.446	0	0
wd	p(w|d)	0.98	694.92	0	0
Figure	1:	1.0	221.516	1	FIGURE
Two	additional	1.0	274.409	0	0
$$$	The	1.22	379.749	0	0
xLC	clique.	1.11	380.814	0	0
This	clique	1.0	380.51	0	0
