Sensor			Coverage			1.59			74.0443			0
without			Metric			1.59			93.9693			0
Rattanachai			Ramaithitima,			1.1			128.92			0
We			consider			0.9			175.402			0
I.			INTRODUCTION			1.0			343.871			0
*University			of			0.84			699.224			0
The			authors			0.8			708.19			0
cal			communication-based			1.0			174.834			0
2015			IEEE			0.8			27.776			0
978-1-4799-6922-7/15/$31.00			IEEE			0.8			749.776			0
simply-connected,			as			1.0			55.2823			0
B.			Problem			1.0			273.17			0
II.			PRELIMINARIES			1.0			657.714			0
2			the			0.97			675.251			0
$$$			Hole			0.29			54.3779			0
Fig.			1.			0.8			122.875			0
A			robot,			1.0			155.214			0
i			,			0.93			158.624			0
B.			Complex			1.0			250.296			0
We			do			1.0			267.094			0
1			2			0.48			380.534			0
(a)			Robots			0.8			418.683			0
1			2			0.48			381.305			0
(b)			Robots			0.95			418.683			0
1			2			0.4			674.354			0
3			4			0.4			691.206			0
$$$			5			0.4			665.62			0
$$$			9			0.4			697.696			0
$$$			6			0.4			663.75			0
$$$			7			0.4			681.306			0
$$$			8			0.4			702.602			0
1			2			0.46			669.187			0
$$$			3			0.46			693.006			0
$$$			4			0.46			710.28			0
5			6			0.46			657.15			0
$$$			7			0.46			673.551			0
8			9			0.46			693.032			0
Fig.			3.			0.78			729.564			0
This			simplicial			0.99			55.2823			0
along			with			1.0			236.409			0
0			C			0.85			232.677			0
2			C			0.85			239.819			0
1			C			0.85			239.819			0
0			0			0.88			239.819			0
d			is			0.98			251.774			0
Fig.			4.			0.87			671.98			0
a			gradient			0.98			55.2824			0
E.			Relative			1.0			286.232			0
2			Homology			0.99			289.552			0
$$$			8			0.62			585.797			0
12			10			0.62			548.129			0
$$$			11			0.62			571.691			0
$$$			6			0.62			542.308			0
7			3			0.62			564.484			0
$$$			2			0.62			522.811			0
$$$			1			0.62			555.86			0
9			5			0.62			531.528			0
$$$			13			0.62			563.067			0
(a)			A			0.8			607.348			0
v			,			0.78			611.287			0
$$$			Q			0.62			594.113			0
$$$			8			0.62			549.761			0
$$$			12			0.62			530.481			0
$$$			10			0.62			511.231			0
$$$			11			0.62			542.554			0
6			7			0.62			527.493			0
$$$			2			0.62			515.758			0
$$$			1			0.62			534.423			0
9			5			0.62			517.606			0
$$$			13			0.62			538.15			0
(b)			Topology			0.8			607.348			0
III.			ALGORITHM			1.0			677.419			0
$$$			3410			0.8			749.776			0
we			start			0.99			55.2823			0
Algorithm			1			0.94			333.689			0
1:			Deploy			0.88			347.685			0
2:			do			0.85			357.647			0
3:			Construct			0.88			367.61			0
v			=			0.7			381.512			0
,n)			4:			0.85			379.825			0
Algorithm			2			1.0			475.188			0
$$$			Rr			0.9			475.337			0
v			=			0.7			480.598			0
,n)			Input:			0.86			478.911			0
1:			Rr			0.85			509.684			0
v			2:			0.84			513.624			0
3:			Rr			0.85			529.61			0
v			Rr			0.7			533.549			0
v			{i}			0.7			533.549			0
4:			for			0.84			539.572			0
A.			Identifying			0.99			641.27			0
Algorithm			3			1.0			52.8618			0
[F,			O]			0.9			53.5133			0
v			,			0.7			58.271			0
a			bc			0.81			51.7786			0
v			;			0.83			68.234			0
1:			F			0.86			87.3073			0
2:			E			0.86			97.2693			0
v			)			0.7			101.209			0
3:			for			0.88			107.232			0
v			E			0.76			111.172			0
4:			UnCovij			0.86			117.243			0
i			jku			0.85			114.69			0
$$$			i			0.96			223.446			0
$$$			j			0.96			267.578			0
k			1			0.81			231.081			0
k			2			0.81			257.638			0
$$$			i			0.96			225.991			0
$$$			j			0.96			270.123			0
k			1			0.81			237.009			0
k			2			0.81			259.434			0
Fig.			7.			0.8			281.818			0
1			}			0.76			284.181			0
2			}			0.78			284.181			0
Algorithm			3			0.98			315.328			0
i.			If			0.99			557.4			0
$$$			3411			0.8			749.776			0
i			j			0.72			68.1818			0
$$$			k			0.72			109.33			0
1			k			0.61			113.414			0
$$$			2			0.5			113.792			0
(a)			Exception			0.0			120.61			0
of			the			0.99			55.2823			0
$$$			8			0.54			446.308			0
$$$			12			0.54			431.921			0
$$$			10			0.54			413.91			0
$$$			11			0.54			428.568			0
$$$			6			0.54			402.228			0
7			3			0.54			427.621			0
$$$			2			0.54			404.229			0
$$$			1			0.54			420.022			0
$$$			9			0.54			391.005			0
$$$			source			0.38			433.335			0
5			4			0.54			381.81			0
(a)			Shortest			0.8			470.464			0
$$$			8			0.54			446.308			0
12			10			0.54			412.477			0
$$$			11			0.54			428.568			0
$$$			6			0.54			408.123			0
7			3			0.54			427.621			0
$$$			2			0.54			391.032			0
$$$			1			0.54			420.022			0
$$$			9			0.54			391.005			0
$$$			source			0.38			433.335			0
5			4			0.54			381.81			0
$$$			13			0.54			430.975			0
(b)			Robots			0.88			470.464			0
direction			for			1.0			569.195			0
j			new			0.99			566.323			0
desired			bearing			0.98			55.2824			0
(a)			The			0.8			473.818			0
v			i			0.56			399.174			0
u			i			0.56			418.696			0
(b)			Upon			0.95			473.818			0
D.			and			0.98			677.664			0
$$$			3413			0.8			749.776			0
is			the			0.98			55.2823			0
$$$			Z			1.0			200.876			0
2			of			0.99			202.154			0
IV.			GUARANTEES			1.0			349.568			0
Since			throughout			1.0			365.292			0
rv			)			0.99			380.656			0
frontier.			Thus,			0.99			55.2833			0
V.			RESULTS			1.0			527.966			0
We			demonstrate			1.0			541.047			0
A.			Comparison			1.0			629.477			0
$$$			3414			0.8			749.776			0
robots			deployed			1.0			55.2823			0
(a)			Deployment			0.8			178.139			0
(b)			Hexagonal			0.8			178.139			0
B.			Structured			1.0			241.058			0
Our			algorithm			1.0			256.096			0
(a)			T			0.8			397.273			0
(c)			T			0.8			481.275			0
VI.			DISCUSSIONS			1.0			553.07			0
In			this			1.0			569.355			0
$$$			REFERENCES			1.0			55.2824			0
[1]			IA			0.8			71.4773			0
$$$			3415			0.8			749.776			0
