Sensor	Coverage	7	0.0	1.59	2	2	0
without	Metric	3	0.0	1.59	4	2	0
Rattanachai	Ramaithitima,	10	0.0	1.1	2	2	0
We	consider	134	0.0	0.9	2	4	0
I.	INTRODUCTION	261	0.0	1.0	1	2	0
*University	of	5	0.0	0.84	3	4	0
The	authors	17	0.0	0.8	2	4	0
cal	communication-based	422	0.0	1.0	4	3	0
2015	IEEE	18	1.0	0.8	4	2	0
978-1-4799-6922-7/15/$31.00	IEEE	3	1.0	0.8	3	2	0
simply-connected,	as	148	0.0	1.0	3	4	0
B.	Problem	291	0.0	1.0	1	2	0
II.	PRELIMINARIES	9	0.0	1.0	1	2	0
2	the	59	0.0	0.97	1	4	0
$$$	Hole	1	1.0	0.29	5	2	0
Fig.	1.	27	0.0	0.8	0	1	0
A	robot,	12	0.0	1.0	1	3	0
i	,	72	0.0	0.93	1	3	0
B.	Complex	6	0.0	1.0	1	2	0
We	do	82	0.0	1.0	2	4	0
1	2	2	0.0	0.48	1	1	0
(a)	Robots	20	0.0	0.8	3	2	0
1	2	2	0.0	0.48	1	1	0
(b)	Robots	179	0.0	0.95	3	2	0
1	2	2	0.0	0.4	1	1	0
3	4	2	0.0	0.4	1	1	0
$$$	5	1	0.0	0.4	5	1	0
$$$	9	1	0.0	0.4	5	1	0
$$$	6	1	0.0	0.4	5	1	0
$$$	7	1	0.0	0.4	5	1	0
$$$	8	1	0.0	0.4	5	1	0
1	2	2	0.0	0.46	1	1	0
$$$	3	1	0.0	0.46	5	1	0
$$$	4	1	0.0	0.46	5	1	0
5	6	2	0.0	0.46	1	1	0
$$$	7	1	0.0	0.46	5	1	0
8	9	2	0.0	0.46	1	1	0
Fig.	3.	18	0.0555555555556	0.78	0	1	0
This	simplicial	154	0.0	0.99	2	4	0
along	with	5	0.0	1.0	4	4	0
0	C	2	0.0	0.85	4	1	0
2	C	2	0.0	0.85	1	1	0
1	C	2	0.0	0.85	1	1	0
0	0	5	0.0	0.88	4	4	0
d	is	272	0.0	0.98	4	4	0
Fig.	4.	56	0.0	0.87	0	1	0
a	gradient	189	0.0	0.98	4	4	0
E.	Relative	3	0.0	1.0	1	2	0
2	Homology	184	0.0	0.99	1	2	0
$$$	8	1	0.0	0.62	5	1	0
12	10	2	0.0	0.62	1	1	0
$$$	11	1	0.0	0.62	5	1	0
$$$	6	1	0.0	0.62	5	1	0
7	3	2	0.0	0.62	1	1	0
$$$	2	1	0.0	0.62	5	1	0
$$$	1	1	0.0	0.62	5	1	0
9	5	3	0.0	0.62	1	1	0
$$$	13	1	0.0	0.62	5	1	0
(a)	A	5	0.0	0.8	3	1	0
v	,	19	0.0	0.78	1	3	0
$$$	Q	1	0.0	0.62	5	1	0
$$$	8	1	0.0	0.62	5	1	0
$$$	12	1	0.0	0.62	5	1	0
$$$	10	1	0.0	0.62	5	1	0
$$$	11	1	0.0	0.62	5	1	0
6	7	3	0.0	0.62	1	1	0
$$$	2	1	0.0	0.62	5	1	0
$$$	1	1	0.0	0.62	5	1	0
9	5	3	0.0	0.62	1	1	0
$$$	13	1	0.0	0.62	5	1	0
(b)	Topology	53	0.0	0.8	3	2	0
III.	ALGORITHM	42	0.0	1.0	1	2	0
$$$	3410	1	1.0	0.8	5	4	0
we	start	208	0.0	0.99	4	4	0
